Category,Rating,SkillName,Description,SkillAuthor,Reviews,Quote2,Quote1,CategoryURL,SkillURL
Calendars & Reminders,1.0 out of 5 stars,"
		FreeDays
	",The skill allows you to find out the next free day (banking holiday) in a specific Country. You will get both the official name of the next free day and in how many days you need to wait for it.,"
            by Softmil
        ",1,"
                                            ""when is the next bank holiday in Czechia""","
                                            ""Alexa, ask bank holidays for the next free day in Poland""",https://www.amazon.com/b/ref=s9_acsd_hfnv_hd_bw_bFajuMl_ct_x_ct00_w?_encoding=UTF8&node=14284885011&pf_rd_m=ATVPDKIKX0DER&pf_rd_s=merchandised-search-5&pf_rd_r=VN4TG1FGBYPD3E37P4X5&pf_rd_r=VN4TG1FGBYPD3E37P4X5&pf_rd_t=101&pf_rd_p=09f43a4c-9b53-500f-857f-030eaebbc6cb&pf_rd_p=09f43a4c-9b53-500f-857f-030eaebbc6cb&pf_rd_i=14284882011,https://www.amazon.com/Softmil-FreeDays/dp/B01MYV7DST
Calendars & Reminders,5.0 out of 5 stars,"
		Australia Public Holiday Calendar
	",=====Version 1.0======,"
            by shane
        ",1,"
                                            ""Alexa, ask Australia Calendar when is the next public holiday""","
                                            ""Alexa open Australia Calendar""",https://www.amazon.com/b/ref=s9_acsd_hfnv_hd_bw_bFajuMl_ct_x_ct00_w?_encoding=UTF8&node=14284885011&pf_rd_m=ATVPDKIKX0DER&pf_rd_s=merchandised-search-5&pf_rd_r=VN4TG1FGBYPD3E37P4X5&pf_rd_r=VN4TG1FGBYPD3E37P4X5&pf_rd_t=101&pf_rd_p=09f43a4c-9b53-500f-857f-030eaebbc6cb&pf_rd_p=09f43a4c-9b53-500f-857f-030eaebbc6cb&pf_rd_i=14284882011,https://www.amazon.com/shane-Australia-Public-Holiday-Calendar/dp/B01N0MY1B6
Calendars & Reminders,2.5 out of 5 stars,"
		So Near
	",So Near allows you to tell Alexa where you are leaving an item when you might forget where it is.,"
            by LessEverything, Inc.
        ",8,"
                                            ""Alexa, ask So Near where are my car keys""","
                                            ""Alexa, tell So Near I'm leaving my car keys in the kitchen drawers""",https://www.amazon.com/b/ref=s9_acsd_hfnv_hd_bw_bFajuMl_ct_x_ct00_w?_encoding=UTF8&node=14284885011&pf_rd_m=ATVPDKIKX0DER&pf_rd_s=merchandised-search-5&pf_rd_r=VN4TG1FGBYPD3E37P4X5&pf_rd_r=VN4TG1FGBYPD3E37P4X5&pf_rd_t=101&pf_rd_p=09f43a4c-9b53-500f-857f-030eaebbc6cb&pf_rd_p=09f43a4c-9b53-500f-857f-030eaebbc6cb&pf_rd_i=14284882011,https://www.amazon.com/LessEverything-Inc-So-Near/dp/B01NAYSC94
Calendars & Reminders,,"
		Campus Food
	",Allows you to get what food places are open on campus currently and for future time and dates.,"
            by ixchi, llc
        ",,"
                                            ""Alexa, ask Campus Food what's open this evening""","
                                            ""Alexa, ask Campus Food what's open""",https://www.amazon.com/b/ref=s9_acsd_hfnv_hd_bw_bFajuMl_ct_x_ct00_w?_encoding=UTF8&node=14284885011&pf_rd_m=ATVPDKIKX0DER&pf_rd_s=merchandised-search-5&pf_rd_r=VN4TG1FGBYPD3E37P4X5&pf_rd_r=VN4TG1FGBYPD3E37P4X5&pf_rd_t=101&pf_rd_p=09f43a4c-9b53-500f-857f-030eaebbc6cb&pf_rd_p=09f43a4c-9b53-500f-857f-030eaebbc6cb&pf_rd_i=14284882011,https://www.amazon.com/ixchi-llc-Campus-Food/dp/B06W559711
Calendars & Reminders,,"
		Sammamish Library Calendar
	",This skill help to check and search Sammamish WA Library calendar. It allows you to search by date or by keyword for events happening at Sammamish library WA.,"
            by dayie
        ",,"
                                            ""Alexa ask Sammamish library calendar to get me stuff happening July 26 2017""","
                                            ""Alexa open Sammamish library calendar""",https://www.amazon.com/b/ref=s9_acsd_hfnv_hd_bw_bFajuMl_ct_x_ct00_w?_encoding=UTF8&node=14284885011&pf_rd_m=ATVPDKIKX0DER&pf_rd_s=merchandised-search-5&pf_rd_r=VN4TG1FGBYPD3E37P4X5&pf_rd_r=VN4TG1FGBYPD3E37P4X5&pf_rd_t=101&pf_rd_p=09f43a4c-9b53-500f-857f-030eaebbc6cb&pf_rd_p=09f43a4c-9b53-500f-857f-030eaebbc6cb&pf_rd_i=14284882011,https://www.amazon.com/dayie-Sammamish-Library-Calendar/dp/B07439156Q
Calendars & Reminders,,"
		Nerd Day
	","We celebrate our birthdays every year, but why not our 1,000,000,000 seconds? Tell Alexa your birthday, anniversary, or any special day and see what you should celebrate next.","
            by Paul Tarjan
        ",,"
                                            ""Alexa ask nerd day when to celebrate since my birthday is May 2 1984""","
                                            ""Alexa ask nerd day when to celebrate""",https://www.amazon.com/b/ref=s9_acsd_hfnv_hd_bw_bFajuMl_ct_x_ct00_w?_encoding=UTF8&node=14284885011&pf_rd_m=ATVPDKIKX0DER&pf_rd_s=merchandised-search-5&pf_rd_r=VN4TG1FGBYPD3E37P4X5&pf_rd_r=VN4TG1FGBYPD3E37P4X5&pf_rd_t=101&pf_rd_p=09f43a4c-9b53-500f-857f-030eaebbc6cb&pf_rd_p=09f43a4c-9b53-500f-857f-030eaebbc6cb&pf_rd_i=14284882011,https://www.amazon.com/Paul-Tarjan-Nerd-Day/dp/B0745XDJZJ
Calendars & Reminders,,"
		commy
	",Alexa Skill to get the today's or upcoming commemoration days.,"
            by dnltsk
        ",,"
                                            ""Alexa, ask Commy Calendar about the upcoming commemoration days.""","
                                            ""Alexa, ask Commy Calendar about the today's commemoration days.""",https://www.amazon.com/b/ref=s9_acsd_hfnv_hd_bw_bFajuMl_ct_x_ct00_w?_encoding=UTF8&node=14284885011&pf_rd_m=ATVPDKIKX0DER&pf_rd_s=merchandised-search-5&pf_rd_r=VN4TG1FGBYPD3E37P4X5&pf_rd_r=VN4TG1FGBYPD3E37P4X5&pf_rd_t=101&pf_rd_p=09f43a4c-9b53-500f-857f-030eaebbc6cb&pf_rd_p=09f43a4c-9b53-500f-857f-030eaebbc6cb&pf_rd_i=14284882011,https://www.amazon.com/dnltsk-commy/dp/B01MV36VBG
Calendars & Reminders,5.0 out of 5 stars,"
		Kiwi Holidays
	",Tells you if there are scheduled New Zealand public holidays or regional anniversaries using information published by the NZ Government's Department of Internal Affairs. ,"
            by Engendex
        ",1,"
                                            ""What holidays are there next month?""","
                                            ""Alexa ask Kiwi Holidays for the holidays next week""",https://www.amazon.com/b/ref=s9_acsd_hfnv_hd_bw_bFajuMl_ct_x_ct00_w?_encoding=UTF8&node=14284885011&pf_rd_m=ATVPDKIKX0DER&pf_rd_s=merchandised-search-5&pf_rd_r=VN4TG1FGBYPD3E37P4X5&pf_rd_r=VN4TG1FGBYPD3E37P4X5&pf_rd_t=101&pf_rd_p=09f43a4c-9b53-500f-857f-030eaebbc6cb&pf_rd_p=09f43a4c-9b53-500f-857f-030eaebbc6cb&pf_rd_i=14284882011,https://www.amazon.com/Engendex-Kiwi-Holidays/dp/B01NCNHIF1
Calendars & Reminders,1.0 out of 5 stars,"
		Next Holiday
	",You'll hear the next upcoming public holiday for your current location when opening the skill.,"
            by Werner
        ",1,"
                                            ""United Kingdom""","
                                            ""Alexa Open Next Holiday""",https://www.amazon.com/b/ref=s9_acsd_hfnv_hd_bw_bFajuMl_ct_x_ct00_w?_encoding=UTF8&node=14284885011&pf_rd_m=ATVPDKIKX0DER&pf_rd_s=merchandised-search-5&pf_rd_r=VN4TG1FGBYPD3E37P4X5&pf_rd_r=VN4TG1FGBYPD3E37P4X5&pf_rd_t=101&pf_rd_p=09f43a4c-9b53-500f-857f-030eaebbc6cb&pf_rd_p=09f43a4c-9b53-500f-857f-030eaebbc6cb&pf_rd_i=14284882011,https://www.amazon.com/Werner-Next-Holiday/dp/B06VX3X3Q4
Calendars & Reminders,1.0 out of 5 stars,"
		ComicCon Calendar
	","ComicCon Calendar keeps you up to date on upcoming conventions, so that you don't have to risk missing out on a single one!","
            by Ben Freiband
        ",1,"
                                            ""Ask ComicCon Calendar to get me events for September 13th""","
                                            ""Alexa, ask ComicCon Calendar what events are happening on October 31st""",https://www.amazon.com/b/ref=s9_acsd_hfnv_hd_bw_bFajuMl_ct_x_ct00_w?_encoding=UTF8&node=14284885011&pf_rd_m=ATVPDKIKX0DER&pf_rd_s=merchandised-search-5&pf_rd_r=VN4TG1FGBYPD3E37P4X5&pf_rd_r=VN4TG1FGBYPD3E37P4X5&pf_rd_t=101&pf_rd_p=09f43a4c-9b53-500f-857f-030eaebbc6cb&pf_rd_p=09f43a4c-9b53-500f-857f-030eaebbc6cb&pf_rd_i=14284882011,https://www.amazon.com/Ben-Freiband-ComicCon-Calendar/dp/B07453ZG9T
Calendars & Reminders,,"
		BookMarker
	","Bookmarker is a skill to save and retrieve the current page that you have just read. Just tell Alexa to request BookMarker to set the book mark page for the book that you have just read., you are all set. Give it a try.","
            by Mariswaran
        ",,"
                                            ""Alexa Ask Bookmarker to set the bookmark to 97""","
                                            ""Alexa Ask Bookmarker to set the bookmark to 150""",https://www.amazon.com/b/ref=s9_acsd_hfnv_hd_bw_bFajuMl_ct_x_ct00_w?_encoding=UTF8&node=14284885011&pf_rd_m=ATVPDKIKX0DER&pf_rd_s=merchandised-search-5&pf_rd_r=VN4TG1FGBYPD3E37P4X5&pf_rd_r=VN4TG1FGBYPD3E37P4X5&pf_rd_t=101&pf_rd_p=09f43a4c-9b53-500f-857f-030eaebbc6cb&pf_rd_p=09f43a4c-9b53-500f-857f-030eaebbc6cb&pf_rd_i=14284882011,https://www.amazon.com/Mariswaran-BookMarker/dp/B06XT88T7J
Calendars & Reminders,,"
		Quote Maker
	","Quote Maker is a development tool that allows developers to create notifications in real-time, and trigger the sending of SetIndicator directives to all Alexa-enabled devices connected to the associated Amazon account. When you ask Quote Maker to create a notification, a randomly selected quote is added to your notifications queue, and results in your device receiving a directive with instructions to persistently inform the user that a notification is available to be retrieved. ","
            by Amazon AVS
        ",,"
                                            ""Alexa, ask Quote Maker to create a notification.""","
                                            ""Alexa, open Quote Maker.""",https://www.amazon.com/b/ref=s9_acsd_hfnv_hd_bw_bFajuMl_ct_x_ct00_w?_encoding=UTF8&node=14284885011&pf_rd_m=ATVPDKIKX0DER&pf_rd_s=merchandised-search-5&pf_rd_r=VN4TG1FGBYPD3E37P4X5&pf_rd_r=VN4TG1FGBYPD3E37P4X5&pf_rd_t=101&pf_rd_p=09f43a4c-9b53-500f-857f-030eaebbc6cb&pf_rd_p=09f43a4c-9b53-500f-857f-030eaebbc6cb&pf_rd_i=14284882011,https://www.amazon.com/Amazon-AVS-Quote-Maker/dp/B079MN9SNJ
Calendars & Reminders,2.2 out of 5 stars,"
		My Extra Brain
	","Just ask for a quick reminder, and we'll send you a text at the time. This isn't a fancy reminder service with snoozing, repeating reminders, or any of that jazz. Just ask us, and we'll remind you. The skill works by securely storing your phone number and reminders associated with your unique Alexa userId. Then, when it's time for your reminder, we send your reminder to you via SMS. Standard text messaging rates from your carrier apply. Reminders will be sent from the number 37083.","
            by Xander Dumaine
        ",10,"
                                            ""Remind me to feed the dog in 10 minutes.""","
                                            ""Alexa, ask My Extra Brain to Remind Me to wash the car on Saturday.""",https://www.amazon.com/b/ref=s9_acsd_hfnv_hd_bw_bFajuMl_ct_x_ct00_w?_encoding=UTF8&node=14284885011&pf_rd_m=ATVPDKIKX0DER&pf_rd_s=merchandised-search-5&pf_rd_r=VN4TG1FGBYPD3E37P4X5&pf_rd_r=VN4TG1FGBYPD3E37P4X5&pf_rd_t=101&pf_rd_p=09f43a4c-9b53-500f-857f-030eaebbc6cb&pf_rd_p=09f43a4c-9b53-500f-857f-030eaebbc6cb&pf_rd_i=14284882011,https://www.amazon.com/Xander-Dumaine-My-Extra-Brain/dp/B06W5KG3BQ
Calendars & Reminders,3.0 out of 5 stars,"
		Mood Journal
	","With Mood Journal you can track your mood on a daily basis. Each day when you open the journal, simply tell Alexa how you feel, it then plays music based on your mood. Mood journal allows you to create one journal per day. You can tell mood journal how you feel using one word at a time. You can update an existing mood journal from any previous date as well as delete any old journals.","
            by Mandy Chan
        ",9,"
                                            ""what was the entry on August second twenty sixteen""","
                                            ""Alexa, open mood journal and I am happy""",https://www.amazon.com/b/ref=s9_acsd_hfnv_hd_bw_bFajuMl_ct_x_ct00_w?_encoding=UTF8&node=14284885011&pf_rd_m=ATVPDKIKX0DER&pf_rd_s=merchandised-search-5&pf_rd_r=VN4TG1FGBYPD3E37P4X5&pf_rd_r=VN4TG1FGBYPD3E37P4X5&pf_rd_t=101&pf_rd_p=09f43a4c-9b53-500f-857f-030eaebbc6cb&pf_rd_p=09f43a4c-9b53-500f-857f-030eaebbc6cb&pf_rd_i=14284882011,https://www.amazon.com/Mandy-Chan-Mood-Journal/dp/B01KHA3H7A
Calendars & Reminders,2.3 out of 5 stars,"
		Holiday Freak
	","The Holiday Freak skill tells you what National Holidays are being celebrated for the current day. Every day, there is at least one reason for all to celebrate. If you don't currently have a special occasion today, use the Holiday Freak skill to get one (or many!).","
            by Kyleap, LLC
        ",9,"
                                            ""Alexa, ask Holiday Freak for today's holiday celebrations""","
                                            ""Alexa, ask Holiday Freak to give me today's holidays""",https://www.amazon.com/b/ref=s9_acsd_hfnv_hd_bw_bFajuMl_ct_x_ct00_w?_encoding=UTF8&node=14284885011&pf_rd_m=ATVPDKIKX0DER&pf_rd_s=merchandised-search-5&pf_rd_r=VN4TG1FGBYPD3E37P4X5&pf_rd_r=VN4TG1FGBYPD3E37P4X5&pf_rd_t=101&pf_rd_p=09f43a4c-9b53-500f-857f-030eaebbc6cb&pf_rd_p=09f43a4c-9b53-500f-857f-030eaebbc6cb&pf_rd_i=14284882011,https://www.amazon.com/Kyleap-LLC-Holiday-Freak/dp/B01GLRZRLM
Calendars & Reminders,2.8 out of 5 stars,"
		Recycling Reminder
	","Never have to judge if it's your recycling week by looking down the street. Configure Recycling Reminder to remember your biweekly pickup week by saying, ""Alexa, ask Recycling Reminder to remember my recycling week as"" followed by ""this week"" or ""next week"". To use Recycling Reminder, ask Alexa to ""ask Recycling Reminder if pickup is this week"" to have a quick reminder or simply, ""open Recycling Reminder"".","
            by Casey Loren Billman
        ",20,"
                                            ""Alexa, ask recycling reminder when my recycling is picked up""","
                                            ""Alexa, ask recycling reminder to remember my recycling week as this week""",https://www.amazon.com/b/ref=s9_acsd_hfnv_hd_bw_bFajuMl_ct_x_ct00_w?_encoding=UTF8&node=14284885011&pf_rd_m=ATVPDKIKX0DER&pf_rd_s=merchandised-search-5&pf_rd_r=VN4TG1FGBYPD3E37P4X5&pf_rd_r=VN4TG1FGBYPD3E37P4X5&pf_rd_t=101&pf_rd_p=09f43a4c-9b53-500f-857f-030eaebbc6cb&pf_rd_p=09f43a4c-9b53-500f-857f-030eaebbc6cb&pf_rd_i=14284882011,https://www.amazon.com/Casey-Loren-Billman-Recycling-Reminder/dp/B01HPJ6M4G
Calendars & Reminders,1.0 out of 5 stars,"
		Swahili
	",This version: User can ask Alexa for day of week and get a response in Swahili language.,"
            by Andrew de Silva
        ",1,"
                                            ""Alexa Ask Swahili Speaker what is day of the week""","
                                            ""Alexa Open Swahili Speaker""",https://www.amazon.com/b/ref=s9_acsd_hfnv_hd_bw_bFajuMl_ct_x_ct00_w?_encoding=UTF8&node=14284885011&pf_rd_m=ATVPDKIKX0DER&pf_rd_s=merchandised-search-5&pf_rd_r=VN4TG1FGBYPD3E37P4X5&pf_rd_r=VN4TG1FGBYPD3E37P4X5&pf_rd_t=101&pf_rd_p=09f43a4c-9b53-500f-857f-030eaebbc6cb&pf_rd_p=09f43a4c-9b53-500f-857f-030eaebbc6cb&pf_rd_i=14284882011,https://www.amazon.com/Andrew-de-Silva-Swahili/dp/B01MRRZSI2
